company,name,street,postcode,city,country,capacity,energy_source,technology,additional_info,type,chp,commissioned,comment,source,eic_code,lat,lon
, Rott,,,,AT,5.0,Hydro,Run-of-river,,,,2004.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Sohlstufe Hallein,,,,AT,11.7,Hydro,Run-of-river,,,,1987.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Sohlstufe Lehen,,,,AT,13.7,Hydro,Run-of-river,,,,2013.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, St. Johann,,,,AT,16.5,Hydro,Run-of-river,,,,1990.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Strubklamm,,,,AT,15.0,Hydro,Reservoir,,,,1984.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Trattenbach,,,,AT,5.0,Hydro,Reservoir,,,,2005.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Urreiting,,,,AT,16.5,Hydro,Run-of-river,,,,1985.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Urstein,,,,AT,22.0,Hydro,Run-of-river,,,,1971.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Wald,,,,AT,23.5,Hydro,Reservoir,,,,1988.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Werfen/Pfarrwerfen,,,,AT,16.0,Hydro,Run-of-river,,,,2009.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Wiestal,,,,AT,28.0,Hydro,Reservoir,,,,1977.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
, Wiestal-Ausgleichsbecken,,,,AT,0.22,Hydro,Reservoir,,,,2005.0,,https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke,,,
