Vannkraftverk

Løpenummer;Navn;Type;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1981-2010) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.
1603;Botnaelva;Kraftverk;SØRDALSKRAFT AS;987393971;Vestland;46;Vaksdal;28;2007-01-04;2007-01-04;0,862;3,2;159;0,65;0,368;5;063.A5Z;
1544;Brandåa;Kraftverk;SVORKA PRODUKSJON AS;973058347;Trøndelag;50;Rindal;61;2009-12-11;2009-12-11;3,94;15,8;;;;3;112.D4A0;
37;Braskereidfoss;Kraftverk;E-CO ENERGI AS;976894677;Innlandet;34;Våler (Innlandet);19;1978-12-12;1978-12-12;35,95;163,1;9,5;450;0,022;1;002.H12;
38;Bratsberg;Kraftverk;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Trondheim ;01;1977-10-01;1977-10-01;124;621,1584;145;105;0,328;3;123.A6;
1687;Bratthus;Kraftverk;BRATTHUS KRAFTVERK AS;996777502;Vestland;46;Bjørnafjorden;24;2012-05-07;2012-05-07;0,68;2,04;189,6;0,41;0,461;2;053.D3;
39;Brattingfoss;Pumpekraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Steinkjer;06;1955-12-05;1955-12-05;10,7;31,112;118,3;12;0,248;3;129.B0;
40;Brattset;Kraftverk;KRAFTVERKENE I ORKLA DA;947576283;Trøndelag;50;Rennebu;22;1982-10-10;1982-10-10;80;402,3264;268,9;36,02;0,616;3;121.C6A0;
869;Brattvåg;Kraftverk;BRATTVÅG KRAFTVERK AS;910785885;Møre og Romsdal;15;Ålesund;07;1912-01-01;1912-01-01;0,81;3;;;;3;102.12Z;
1232;Breiava;Kraftverk;LYSE PRODUKSJON AS;980335216;Rogaland;11;Hjelmeland;33;2006-08-28;2006-08-28;14,8;54;60;27;0,142;2;033.D2;
1882;Breidalselva;Kraftverk;MOANE KRAFT AS;999229611;Vestland;46;Gloppen;50;2016-10-31;2016-10-31;0,99;5,3;350,2;0,3;;3;087.1AZ;
534;Breiskallen;Kraftverk;VOKKS KRAFT AS;976550013;Innlandet;34;Gjøvik;07;1988-01-01;1988-01-01;1;7,0453;29;4,21;0,065;1;002.DCB0;
41;Breive;Pumpe;OTTERAAENS BRUGSEIERFORENING;959951829;Agder;42;Bykle;22;1981-01-01;1981-01-01;-20;-16,7915;0;19,97;-0,277;2;021.JA0;
1099;Breivikbotn;Kraftverk;HAMMERFEST ENERGI AS;986950281;Troms og Finnmark Romsa ja Finnmárku;54;Hasvik;33;1950-01-01;1950-01-01;0,84;4,012;;;;4;216.5A;
1328;Breivold;Kraftverk;BREIVOLD ENERGI AS;981412001;Trøndelag;50;Åfjord;58;2001-01-01;2001-01-01;1;4,8;;;;3;135.3C0;
42;Brekke;Kraftverk;SMÅKRAFT AS;984616155;Viken;30;Rakkestad;16;1987-01-01;1987-01-01;1,5;5,5544;15;9,92;0,041;1;002.A7;
43;Brekke;Kraftverk;ØSTFOLD ENERGI AS;879904412;Viken;30;Halden;01;1924-10-01;1924-10-01;8;36,4892;26,6;37,04;0,059;1;001.B3;
1141;Brekkebekken;Kraftverk;ERLEND SAMSLÅTT;969790521;Agder;42;Sirdal;28;2004-09-09;2004-09-09;0,472;1,211;;;;2;026.DAB;
44;Brekkefoss;Kraftverk;E-CO ENERGI AS;976894677;Viken;30;Hemsedal;42;1957-07-24;1957-07-24;1,6;11,3568;38;4,48;0,098;5;012.CDBA1;
1247;Brekkefossen;Kraftverk;HOPE ENERGI AS;985564655;Vestland;46;Gloppen;50;2005-05-23;2005-05-23;3,9;18,01;68;7;0,163;3;086.8A;
1892;Brekkefossen;Kraftverk;BREKKEFOSSEN KRAFTVERK AS;992484918;Vestland;46;Fjaler;46;2018-01-24;2018-01-24;3,8;9,6;86;5;0,211;3;082.5D;
819;Brekkestøl;Kraftverk;BREKKESTØL KRAFTVERK AS;880556142;Rogaland;11;Gjesdal;22;2000-01-01;2000-01-01;1,44;9,15;309;0,586;0,706;2;030.2Z;
1117;Breksillan;Kraftverk;;;Trøndelag;50;Namsos;07;1997-01-01;1997-01-01;0,033;0,18;;;;3;140.61;
1323;Briksdal;Kraftverk;BRIKSDAL MINIKRAFT AS;888796002;Vestland;46;Stryn;51;2007-05-24;2007-05-24;0,56;2,5;65,7;1,06;0,147;3;088.1C;
45;Brokke;Kraftverk;OTRA KRAFT DA;955007514;Agder;42;Valle;21;1964-08-15;1964-08-15;330;1555,607;300;136;0,674;2;021.F20;
1079;Brudalsbekken;Kraftverk;;;Trøndelag;50;Indre Fosen;54;1998-01-01;1998-01-01;0,022;0,02;;;;3;132.A2;
1760;Bruelva;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Vanylven;11;2014-10-01;2014-10-01;1;2,7;237,75;0,5;0,556;3;093.3A50;
1142;Brufjell;Kraftverk;BRUFJELL ENERGI OG EIENDOM AS;989511890;Agder;42;Iveland;18;2004-01-01;2004-01-01;0,075;0,5;;;;2;020.BAC;
46;Brufoss;Kraftverk;VOKKS KRAFT AS;976550013;Innlandet;34;Gjøvik;07;1982-01-01;1982-01-01;2,2;10,9361;32,5;8,48;0,071;1;002.DCA0;
47;Brulandsfoss;Kraftverk;SUNNFJORD ENERGI AS;916501420;Vestland;46;Sunnfjord;47;1934-07-01;1934-07-01;12,5;59,3099;20,39;78;0,046;3;084.B;
1576;Brunstad;Kraftverk;BRUNSTAD KRAFT AS;992545526;Møre og Romsdal;15;Sykkylven;28;2010-04-28;2010-04-28;3,34;12,1;225,1;1,8;0,515;3;097.7C;
